strain	age	age_sd	isotype
JU2534	67.6362421434652	1.85799580798714	JU2534
JU2565	63.484056408833	0.0792796481636512	JU2565
JU2566	64.1052495502347	0.998715522797105	JU2566
JU2570	62.516302883281	0	JU2570
JU2572	63.2748124033083	0.640576193094857	JU2572
JU2575	62.7255468888057	0.625685281368395	JU2575
JU2576	62.8105522660502	0.704834936530813	JU2576
JU2578	64.9683810730244	0.874426347650564	JU2578
JU2581	63.5298285350416	0.465180193922061	JU2581
JU2586	65.0795419509594	0.270633608483375	JU2586
JU2592	63.0328740219203	0.124582304257171	JU2592
JU2600	63.6213727874587	0.20791155402537	JU2600
JU2610	62.3986031301733	0.634742593936167	JU2610
JU2619	64.5433541868022	0.781306660313235	JU2619
JU2811	69.1598000586925	1.98024304497062	JU2811
JU2838	64.0267830481629	1.08726374624438	JU2838
JU2841	64.6610539399099	0.572702446182715	JU2841
JU2853	64.0562079864398	0.346776223193443	JU2853
JU2862	64.5498930619748	0.394939399571226	JU2862
JU2866	63.5625229109048	0.24527319900989	JU2866
JU2879	64.4321933088672	0.348896634587331	JU2879
JU2906	64.6250901264603	0.180323636060588	JU2906
JU2907	65.8445903461594	1.56888042936088	JU2907
JU310	67.9893414027883	1.95104081747896	JU310
JU311	64.370073994727	1.15129706100222	JU311
JU3128	64.752598192327	1.16516810992995	JU3128
JU3132	63.3598177805527	1.16516810992995	JU3132
JU3134	65.4489883982141	0.180323636060588	JU3134
JU3140	61.7054823618725	1.43849309243481	JU3140
JU3144	63.5821395364228	0.337687165424064	JU3144
JU323	64.7722148178449	1.46574396728748	JU323
JU346	66.0472954765115	1.52114251016317	JU346
JU360	66.9006186865422	2.2887230730767	JU360
JU367	65.4457189606278	0.14982445219266	JU367
JU394	66.0996064778927	0.92766798765087	JU394
JU397	62.8563243922587	0.305373171496326	JU397
JU406	65.1318529523406	0.196492926938118	JU406
JU440	67.8029834603678	2.15001258379932	JU440
JU642	64.1314050509253	0.147233632303926	JU642
JU774	64.2229493033424	0.582584054964982	JU774
JU775	69.2709609366275	0.182269312783997	JU775
JU778	68.6693844207438	0.788659912352065	JU778
JU782	65.5176465875269	0.860005033519731	JU782
JU792	64.6937483157731	0.519007126827717	JU792
JU830	69.0878724317933	2.38582041557086	JU830
JU847	65.5830353392534	0.60790442300455	JU847
KR314	67.4793091393216	1.52581538205113	KR314
LKC34	67.9402998389934	2.09452838808838	LKC34
MY1	65.2332055175167	1.15129706100222	MY1
MY10	67.4891174520806	0.346776223193443	MY10
MY16	65.7988182199508	1.0365921886083	MY16
MY18	66.0603732268568	1.12009614763406	MY18
