trait	eQTL_classification	n_dis	both	eQTL_count	distant_both
C54F6.13b.1	Distant eQTL	1	single	2011	NA
C54G4.4.1	Distant eQTL	1	single	2011	NA
C54G4.7.1	Distant eQTL	1	single	2011	NA
C54G4.7.2	Distant eQTL	1	single	2011	NA
C54G6.8.1	Distant eQTL	1	single	2011	NA
C54G7.3a.1	Distant eQTL	5	single	14	8/14
C54G7.3b.1	Distant eQTL	1	single	2011	NA
C54H2.4.1	Distant eQTL	1	single	2011	NA
C55A6.1.1	Distant eQTL	1	both	2011	NA
C55A6.1.2	Distant eQTL	4	both	42	NA
C55B7.11.1	Distant eQTL	1	single	2011	NA
C55B7.4a.2	Distant eQTL	1	single	2011	NA
C55B7.4b.1	Distant eQTL	5	single	14	NA
C55C3.1.1	Distant eQTL	1	single	2011	NA
C55C3.8.1	Distant eQTL	1	single	2011	NA
C56A3.10	Distant eQTL	1	single	2011	NA
C56A3.9	Distant eQTL	1	single	2011	NA
C56C10.4.1	Distant eQTL	1	single	2011	NA
C56E6.3a.2	Distant eQTL	1	single	2011	NA
C56G2.3.1	Distant eQTL	4	single	42	NA
C56G2.4.1	Distant eQTL	1	single	2011	NA
CC8.2a.2	Distant eQTL	3	single	131	NA
CE7X_3.1	Distant eQTL	1	both	2011	NA
CE7X_3.2	Distant eQTL	1	single	2011	NA
cTel55X.1a.2	Distant eQTL	1	single	2011	NA
D1007.16.2	Distant eQTL	1	single	2011	NA
D1007.5b.1	Distant eQTL	1	single	2011	NA
D1014.3b.1	Distant eQTL	4	single	42	NA
D1014.3b.2	Distant eQTL	4	single	42	NA
D1025.6.1	Distant eQTL	1	single	2011	NA
D1025.9.1	Distant eQTL	1	single	2011	NA
D1044.2b.2	Distant eQTL	1	single	2011	NA
D1054.2.2	Distant eQTL	1	single	2011	NA
D1054.9c.1	Distant eQTL	1	single	2011	NA
D1054.9d.1	Distant eQTL	3	single	131	NA
D1069.4a.1	Distant eQTL	1	single	2011	NA
D1081.11.1	Distant eQTL	1	single	2011	NA
D1086.11b.1	Distant eQTL	1	single	2011	NA
D1086.4a.1	Distant eQTL	1	single	2011	NA
D1086.7.1	Distant eQTL	2	single	353	NA
D2005.5.2	Distant eQTL	1	single	2011	NA
D2005.6.1	Distant eQTL	1	single	2011	NA
D2007.2a.1	Distant eQTL	1	single	2011	NA
D2023.1e.2	Distant eQTL	1	single	2011	NA
D2023.2a.1	Distant eQTL	1	single	2011	NA
D2023.5.2	Distant eQTL	1	single	2011	NA
D2023.7.1	Distant eQTL	4	single	42	NA
D2024.10	Distant eQTL	1	single	2011	NA
D2045.2.1	Distant eQTL	1	single	2011	NA
D2085.5c.1	Distant eQTL	2	single	353	NA
D2089.8.1	Distant eQTL	1	single	2011	NA
D2092.8.1	Distant eQTL	1	single	2011	NA
D2096.10.1	Distant eQTL	1	both	2011	NA
D2096.13.1	Distant eQTL	1	single	2011	NA
D2096.7c.1	Distant eQTL	1	single	2011	NA
DC2.5a.1	Distant eQTL	1	both	2011	NA
DH11.5b.1	Distant eQTL	1	single	2011	NA
DY3.5.1	Distant eQTL	2	single	353	NA
E01A2.2b.1	Distant eQTL	1	single	2011	NA
E01G6.1.1	Distant eQTL	1	single	2011	NA
E02A10.3f.1	Distant eQTL	1	single	2011	NA
E02C12.6.1	Distant eQTL	1	single	2011	NA
E02C12.8c.2	Distant eQTL	1	single	2011	NA
E02H1.2.1	Distant eQTL	1	both	2011	NA
E02H1.3.1	Distant eQTL	1	single	2011	NA
E02H1.4.2	Distant eQTL	1	single	2011	NA
E02H4.3b.1	Distant eQTL	1	single	2011	NA
E02H4.3d.1	Distant eQTL	1	single	2011	NA
E02H4.3e.1	Distant eQTL	1	single	2011	NA
E02H9.7.1	Distant eQTL	1	single	2011	NA
E03E2.1.2	Distant eQTL	1	single	2011	NA
E04A4.4a.1	Distant eQTL	1	single	2011	NA
E04D5.1a.2	Distant eQTL	1	single	2011	NA
E04D5.3.2	Distant eQTL	1	single	2011	NA
E04F6.5a.2	Distant eQTL	1	single	2011	NA
EEED8.16.2	Distant eQTL	1	single	2011	NA
EGAP9.2.1	Distant eQTL	1	single	2011	NA
F01D5.7b.1	Distant eQTL	1	single	2011	NA
F01E11.1.1	Distant eQTL	2	single	353	NA
F01E11.3.1	Distant eQTL	1	single	2011	NA
F01F1.7.1	Distant eQTL	1	single	2011	NA
F01F1.9a.1	Distant eQTL	1	single	2011	NA
F01G4.3.1	Distant eQTL	2	single	353	NA
F01G4.3.2	Distant eQTL	2	single	353	NA
F02A9.6.1	Distant eQTL	1	single	2011	NA
F02C9.3.1	Distant eQTL	1	single	2011	NA
F02D10.5.1	Distant eQTL	1	single	2011	NA
F02D8.2.1	Distant eQTL	1	single	2011	NA
F02E8.3.2	Distant eQTL	1	single	2011	NA
F02H6.3a.2	Distant eQTL	1	both	2011	NA
F02H6.4a	Distant eQTL	1	both	2011	NA
F07A11.1.1	Distant eQTL	1	single	2011	NA
F07B7.1.1	Distant eQTL	2	single	353	NA
F07B7.10.1	Distant eQTL	1	single	2011	NA
F07B7.11.1	Distant eQTL	1	both	2011	NA
F07B7.2.1	Distant eQTL	1	single	2011	NA
F07B7.3.1	Distant eQTL	1	single	2011	NA
F07B7.4.1	Distant eQTL	1	both	2011	NA
F07C3.17	Distant eQTL	1	single	2011	NA
F07F6.6.1	Distant eQTL	1	single	2011	NA
F07F6.7.2	Distant eQTL	1	single	2011	NA
F07G6.7.1	Distant eQTL	1	single	2011	NA
F07H5.13.1	Distant eQTL	1	single	2011	NA
F07H5.8.1	Distant eQTL	1	single	2011	NA
F08A8.4.1	Distant eQTL	1	single	2011	NA
F08A8.4.2	Distant eQTL	1	single	2011	NA
F08A8.5a.1	Distant eQTL	1	single	2011	NA
F08B1.1e.1	Distant eQTL	2	single	353	NA
F08B4.1a.1	Distant eQTL	3	single	131	NA
F08B4.1b.1	Distant eQTL	2	single	353	NA
F08B4.2a.1	Distant eQTL	2	both	353	NA
F08B4.2c.1	Distant eQTL	4	single	42	NA
F08B4.5.2	Distant eQTL	1	single	2011	NA
F08C6.4a.1	Distant eQTL	1	single	2011	NA
F08F1.4.1	Distant eQTL	1	single	2011	NA
F08F1.8.2	Distant eQTL	1	single	2011	NA
F08F1.9.1	Distant eQTL	2	single	353	NA
F08F3.10.1	Distant eQTL	1	single	2011	NA
F08F3.8.1	Distant eQTL	1	single	2011	NA
F08F8.10a.1	Distant eQTL	1	both	2011	NA
F08G12.1.1	Distant eQTL	1	single	2011	NA
F08H9.8.1	Distant eQTL	1	single	2011	NA
F08H9.9.2	Distant eQTL	1	single	2011	NA
F09B12.1a.1	Distant eQTL	3	single	131	NA
F09B12.1b.2	Distant eQTL	1	single	2011	NA
F09C12.7.1	Distant eQTL	1	single	2011	NA
F09C6.4	Distant eQTL	1	single	2011	NA
F09E5.1.2	Distant eQTL	1	single	2011	NA
F09E5.9	Distant eQTL	1	single	2011	NA
F09E8.6.1	Distant eQTL	2	single	353	NA
F09F7.4a.1	Distant eQTL	1	single	2011	NA
F09F9.2.1	Distant eQTL	2	single	353	NA
F09G8.2.1	Distant eQTL	2	single	353	NA
F09G8.5.1	Distant eQTL	2	both	353	NA
F10B5.3.1	Distant eQTL	1	single	2011	NA
F10C5.3.1	Distant eQTL	1	single	2011	NA
F10D11.6a.1	Distant eQTL	1	single	2011	NA
F10D2.8a.1	Distant eQTL	1	single	2011	NA
F10D2.8b.1	Distant eQTL	2	both	353	NA
F10D7.5c.1	Distant eQTL	1	single	2011	NA
F10E7.8c.1	Distant eQTL	1	single	2011	NA
F10E9.6c.1	Distant eQTL	1	single	2011	NA
F10F2.1a.1	Distant eQTL	1	single	2011	NA
F10F2.1b.1	Distant eQTL	1	single	2011	NA
F10F2.3.1	Distant eQTL	1	single	2011	NA
F10F2.9.1	Distant eQTL	2	single	353	NA
F10G2.11	Distant eQTL	1	single	2011	NA
F10G7.2.1	Distant eQTL	1	single	2011	NA
F10G7.6	Distant eQTL	1	single	2011	NA
F10G8.9b.1	Distant eQTL	1	single	2011	NA
F11A10.4b.1	Distant eQTL	1	single	2011	NA
F11A10.7.1	Distant eQTL	1	single	2011	NA
F11C1.6a.1	Distant eQTL	1	single	2011	NA
F11C3.2.1	Distant eQTL	3	both	131	NA
F11C7.5.1	Distant eQTL	1	single	2011	NA
F11C7.7.1	Distant eQTL	1	single	2011	NA
F11E6.7.2	Distant eQTL	1	single	2011	NA
F11G11.12.1	Distant eQTL	1	single	2011	NA
F12A10.2	Distant eQTL	3	single	131	NA
F12E12.11.1	Distant eQTL	1	both	2011	NA
F13A2.4.2	Distant eQTL	2	single	353	NA
F13A7.12.1	Distant eQTL	3	single	131	NA
F13B6.3.1	Distant eQTL	1	single	2011	NA
F13D12.2a.1	Distant eQTL	1	single	2011	NA
F13D12.7a.2	Distant eQTL	1	single	2011	NA
F13G3.7b.1	Distant eQTL	3	single	131	NA
F13H10.5.1	Distant eQTL	1	single	2011	NA
F13H10.9.1	Distant eQTL	2	single	353	NA
F13H8.2.2	Distant eQTL	2	single	353	NA
F13H8.5b.1	Distant eQTL	1	single	2011	NA
F14B4.3.1	Distant eQTL	1	single	2011	NA
F14B8.5a.1	Distant eQTL	2	both	353	NA
F14B8.5a.2	Distant eQTL	2	both	353	NA
F14B8.7.2	Distant eQTL	1	single	2011	NA
F14D12.4q.1	Distant eQTL	1	single	2011	NA
F14D2.12.1	Distant eQTL	1	single	2011	NA
F14D2.14.2	Distant eQTL	1	both	2011	NA
F14D2.4a.1	Distant eQTL	1	both	2011	NA
F14D7.10.1	Distant eQTL	1	single	2011	NA
F14D7.2.1	Distant eQTL	1	single	2011	NA
F14E5.2a.2	Distant eQTL	1	single	2011	NA
F14F11.1a.2	Distant eQTL	2	single	353	NA
F14F7.7.1	Distant eQTL	1	single	2011	NA
F14H3.15.1	Distant eQTL	1	both	2011	NA
F14H3.3.2	Distant eQTL	1	both	2011	NA
F15A2.6a.2	Distant eQTL	1	single	2011	NA
F15A4.13.1	Distant eQTL	3	single	131	NA
F15B9.10b.1	Distant eQTL	1	both	2011	NA
F15B9.6.1	Distant eQTL	1	single	2011	NA
F15B9.8.2	Distant eQTL	1	single	2011	NA
F15B9.9.1	Distant eQTL	1	single	2011	NA
F15C11.2a.1	Distant eQTL	1	single	2011	NA
F15D3.1f.1	Distant eQTL	1	single	2011	NA
F15D3.8.1	Distant eQTL	2	single	353	NA
F15D3.9.1	Distant eQTL	1	single	2011	NA
F15D4.5.1	Distant eQTL	1	single	2011	NA
F15D4.6.1	Distant eQTL	1	both	2011	NA
F15E11.1.1	Distant eQTL	1	both	2011	NA
F15E11.13.1	Distant eQTL	1	both	2011	NA
F15E11.14.1	Distant eQTL	1	both	2011	NA
F15E6.3.1	Distant eQTL	2	single	353	NA
F16B3.1b.1	Distant eQTL	1	single	2011	NA
F16B4.9.1	Distant eQTL	1	single	2011	NA
F17A9.6.2	Distant eQTL	1	single	2011	NA
F17B5.1a.1	Distant eQTL	4	both	42	NA
F17C8.2.1	Distant eQTL	1	single	2011	NA
F17C8.4.2	Distant eQTL	1	single	2011	NA
F18A1.3b.1	Distant eQTL	1	single	2011	NA
F18A1.6a.1	Distant eQTL	2	single	353	NA
F18A12.5.1	Distant eQTL	1	single	2011	NA
F18C12.1.1	Distant eQTL	1	single	2011	NA
F18C12.3.1	Distant eQTL	1	single	2011	NA
F18C5.4.1	Distant eQTL	1	single	2011	NA
F18E2.5b.1	Distant eQTL	2	single	353	NA
F18E3.12.1	Distant eQTL	1	single	2011	NA
F18E3.13.1	Distant eQTL	1	single	2011	NA
F18F11.3g.1	Distant eQTL	1	single	2011	NA
F19B2.12	Distant eQTL	3	both	131	NA
F19B2.5.2	Distant eQTL	1	both	2011	NA
F19C7.1.1	Distant eQTL	1	single	2011	NA
F19C7.7.2	Distant eQTL	1	single	2011	NA
F19F10.11a.2	Distant eQTL	1	single	2011	NA
F19F10.9.1	Distant eQTL	1	single	2011	NA
F19G12.8.1	Distant eQTL	1	single	2011	NA
F19G12.9a.1	Distant eQTL	1	single	2011	NA
F20A1.7b.1	Distant eQTL	3	single	131	NA
F20B6.9.1	Distant eQTL	1	single	2011	NA
F20B6.9.2	Distant eQTL	1	both	2011	NA
F20C5.1f.1	Distant eQTL	1	both	2011	NA
F20C5.1i.1	Distant eQTL	2	both	353	NA
F20C5.5.1	Distant eQTL	4	single	42	NA
F20D1.22.1	Distant eQTL	1	both	2011	NA
F20D1.6.1	Distant eQTL	1	both	2011	NA
F20D6.1.1	Distant eQTL	2	both	353	NA
F21A10.2a.1	Distant eQTL	1	single	2011	NA
F21A10.2c.1	Distant eQTL	1	single	2011	NA
F21A3.5.1	Distant eQTL	1	single	2011	NA
F21A3.6.1	Distant eQTL	1	single	2011	NA
F21A3.7b.1	Distant eQTL	1	single	2011	NA
F21C10.10.1	Distant eQTL	1	single	2011	NA
F21C10.9.2	Distant eQTL	2	single	353	NA
F21D5.2b.1	Distant eQTL	2	single	353	NA
F21D5.4.1	Distant eQTL	1	single	2011	NA
F21D9.2.1	Distant eQTL	3	single	131	NA
F21G4.5.1	Distant eQTL	1	single	2011	NA
F22A3.1b.1	Distant eQTL	1	single	2011	NA
F22A3.6a.2	Distant eQTL	1	single	2011	NA
F22B3.1.1	Distant eQTL	2	single	353	NA
F22B3.2.1	Distant eQTL	1	single	2011	NA
F22D3.2g.2	Distant eQTL	1	single	2011	NA
F22D6.8.1	Distant eQTL	1	single	2011	NA
F22E5.13.2	Distant eQTL	2	single	353	NA
F22F7.7a.2	Distant eQTL	1	single	2011	NA
F22G12.5c.1	Distant eQTL	1	single	2011	NA
F22G12.8	Distant eQTL	1	both	2011	NA
F22H10.5	Distant eQTL	1	single	2011	NA
F23B12.5.1	Distant eQTL	1	single	2011	NA
F23B12.6.1	Distant eQTL	1	both	2011	NA
F23B2.5b.1	Distant eQTL	3	single	131	NA
F23C8.13a.1	Distant eQTL	1	single	2011	NA
F23D12.3.1	Distant eQTL	1	both	2011	NA
F23F1.8b.1	Distant eQTL	1	single	2011	NA
F23F12.12.1	Distant eQTL	1	single	2011	NA
F23F12.8.1	Distant eQTL	1	single	2011	NA
F23H11.2.1	Distant eQTL	1	single	2011	NA
F23H11.3.1	Distant eQTL	1	single	2011	NA
F23H12.10.2	Distant eQTL	1	single	2011	NA
F23H12.4a.1	Distant eQTL	1	single	2011	NA
F23H12.4b.1	Distant eQTL	1	single	2011	NA
F25B3.1.1	Distant eQTL	1	single	2011	NA
F25B3.4.1	Distant eQTL	1	single	2011	NA
F25B4.3	Distant eQTL	1	single	2011	NA
F25B5.4.1	Distant eQTL	1	single	2011	NA
F25B5.7d.1	Distant eQTL	2	single	353	NA
F25C8.3e.1	Distant eQTL	1	both	2011	NA
F25C8.4.1	Distant eQTL	1	single	2011	NA
F25E2.5i.1	Distant eQTL	1	single	2011	NA
F25E5.2.2	Distant eQTL	1	single	2011	NA
F25E5.4.1	Distant eQTL	5	single	14	NA
F25E5.4.2	Distant eQTL	2	single	353	NA
F25F2.2.1	Distant eQTL	1	single	2011	NA
F25F6.1.1	Distant eQTL	1	single	2011	NA
F25G6.1.2	Distant eQTL	1	single	2011	NA
F25H2.12a.2	Distant eQTL	1	single	2011	NA
F25H2.13.2	Distant eQTL	1	single	2011	NA
F25H2.2.2	Distant eQTL	1	single	2011	NA
F25H5.3a.1	Distant eQTL	1	single	2011	NA
F25H5.3e.1	Distant eQTL	1	single	2011	NA
F25H5.6.1	Distant eQTL	1	single	2011	NA
F25H8.1a.2	Distant eQTL	2	single	353	NA
F25H8.5d.1	Distant eQTL	2	single	353	NA
F25H8.6.2	Distant eQTL	2	single	353	NA
F26A1.9.2	Distant eQTL	3	single	131	NA
F26A10.2.1	Distant eQTL	2	single	353	NA
F26A3.3.1	Distant eQTL	1	single	2011	NA
F26B1.4.1	Distant eQTL	1	single	2011	NA
F26D10.10.1	Distant eQTL	1	single	2011	NA
F26D10.11.1	Distant eQTL	1	single	2011	NA
F26D12.1h.1	Distant eQTL	1	single	2011	NA
F26E4.11.1	Distant eQTL	1	single	2011	NA
F26E4.8b.1	Distant eQTL	1	single	2011	NA
F26F2.7a.2	Distant eQTL	1	single	2011	NA
F26F4.9a.1	Distant eQTL	1	single	2011	NA
F26G1.2a.1	Distant eQTL	1	single	2011	NA
F26G1.6b.1	Distant eQTL	3	single	131	NA
F26G1.8	Distant eQTL	1	single	2011	NA
F26G1.9.1	Distant eQTL	1	single	2011	NA
F26G5.1a.1	Distant eQTL	1	both	2011	NA
F26H9.7b.1	Distant eQTL	1	both	2011	NA
F27B3.2a.1	Distant eQTL	1	single	2011	NA
F27B3.6.1	Distant eQTL	1	single	2011	NA
F27C1.2a.1	Distant eQTL	1	single	2011	NA
F27C8.2.1	Distant eQTL	1	single	2011	NA
F28B3.4d.1	Distant eQTL	1	single	2011	NA
F28B3.9.2	Distant eQTL	1	single	2011	NA
F28B4.1.1	Distant eQTL	1	single	2011	NA
F28B4.2b.1	Distant eQTL	1	single	2011	NA
F28C6.1.1	Distant eQTL	1	single	2011	NA
F28C6.4a.1	Distant eQTL	1	both	2011	NA
F28C6.5.1	Distant eQTL	1	single	2011	NA
F28F8.9c.1	Distant eQTL	1	single	2011	NA
F28F9.1.1	Distant eQTL	1	single	2011	NA
F28F9.4.1	Distant eQTL	1	single	2011	NA
F28G4.1.1	Distant eQTL	2	both	353	NA
F28G4.5	Distant eQTL	1	single	2011	NA
F28H1.1.1	Distant eQTL	1	single	2011	NA
F28H6.4.1	Distant eQTL	1	single	2011	NA
F29B9.10.2	Distant eQTL	1	single	2011	NA
F29B9.2b.1	Distant eQTL	1	single	2011	NA
F29B9.2c.1	Distant eQTL	1	single	2011	NA
F29B9.9a.1	Distant eQTL	2	both	353	NA
F29B9.9b.1	Distant eQTL	1	single	2011	NA
F29C12.1a.1	Distant eQTL	1	single	2011	NA
F29C12.1b.1	Distant eQTL	4	single	42	NA
F29C12.5.1	Distant eQTL	2	single	353	NA
F29C4.8a.1	Distant eQTL	1	single	2011	NA
F29F11.3.1	Distant eQTL	1	single	2011	NA
F29F11.6.2	Distant eQTL	1	both	2011	NA
F29G9.3.1	Distant eQTL	1	both	2011	NA
F30A10.10a.2	Distant eQTL	1	single	2011	NA
F30H5.1.1	Distant eQTL	1	single	2011	NA
F30H5.3.1	Distant eQTL	1	single	2011	NA
F31B9.8	Distant eQTL	1	single	2011	NA
F31D4.2.2	Distant eQTL	1	single	2011	NA
F31D4.5b.2	Distant eQTL	1	both	2011	NA
F31E8.2a.2	Distant eQTL	1	single	2011	NA
F31F4.7.1	Distant eQTL	1	single	2011	NA
F31F7.1b.1	Distant eQTL	1	single	2011	NA
F32B6.2.1	Distant eQTL	1	single	2011	NA
F32B6.3.2	Distant eQTL	1	single	2011	NA
F32B6.6.1	Distant eQTL	2	single	353	NA
F32B6.8b.2	Distant eQTL	1	single	2011	NA
F32D1.11.1	Distant eQTL	2	single	353	NA
F32D1.3a.1	Distant eQTL	1	both	2011	NA
F32D8.1.1	Distant eQTL	1	single	2011	NA
F32D8.4.1	Distant eQTL	1	single	2011	NA
F32D8.7b.1	Distant eQTL	1	single	2011	NA
F32E10.2.1	Distant eQTL	1	single	2011	NA
F32E10.3b.1	Distant eQTL	3	single	131	NA
F32E10.9.2	Distant eQTL	1	single	2011	NA
F32H2.3.2	Distant eQTL	1	single	2011	NA
F32H2.5.1	Distant eQTL	1	single	2011	NA
F33A8.10.1	Distant eQTL	2	single	353	NA
F33A8.4.1	Distant eQTL	1	single	2011	NA
F33A8.6.1	Distant eQTL	1	single	2011	NA
F33D11.10.1	Distant eQTL	1	single	2011	NA
F33D11.3.1	Distant eQTL	1	single	2011	NA
F33D4.6c.1	Distant eQTL	2	single	353	NA
F33D4.6c.2	Distant eQTL	1	single	2011	NA
F33E2.2d.1	Distant eQTL	1	single	2011	NA
F33H1.4.1	Distant eQTL	1	single	2011	NA
F33H2.3.1	Distant eQTL	1	single	2011	NA
F33H2.6.2	Distant eQTL	1	both	2011	NA
F33H2.7.2	Distant eQTL	1	both	2011	NA
F33H2.8a.1	Distant eQTL	1	single	2011	NA
F34D10.4.2	Distant eQTL	1	single	2011	NA
F35A5.4.1	Distant eQTL	1	single	2011	NA
F35C12.3.1	Distant eQTL	1	single	2011	NA
F35C5.9.1	Distant eQTL	1	single	2011	NA
F35D11.2a.2	Distant eQTL	1	single	2011	NA
F35D11.2b.1	Distant eQTL	2	single	353	NA
F35D11.4.1	Distant eQTL	1	single	2011	NA
F35D2.2.1	Distant eQTL	2	single	353	NA
F35E12.4	Distant eQTL	3	single	131	NA
F35E12.5.1	Distant eQTL	1	single	2011	NA
F35E12.6.1	Distant eQTL	1	single	2011	NA
F35E12.7b.1	Distant eQTL	1	both	2011	NA
F35E12.9a.1	Distant eQTL	1	single	2011	NA
F35F10.11.1	Distant eQTL	1	single	2011	NA
F35F10.12.2	Distant eQTL	1	both	2011	NA
F35G12.3a.2	Distant eQTL	2	single	353	NA
F35G2.1a.1	Distant eQTL	1	single	2011	NA
F35G2.4.2	Distant eQTL	1	single	2011	NA
F36A4.10.1	Distant eQTL	1	single	2011	NA
F36A4.6.1	Distant eQTL	2	single	353	NA
F36D3.1.1	Distant eQTL	2	both	353	NA
F36F2.1a.1	Distant eQTL	1	single	2011	NA
F36G3.1.1	Distant eQTL	1	both	2011	NA
F36G9.11.1	Distant eQTL	1	single	2011	NA
F36G9.13.1	Distant eQTL	1	both	2011	NA
F36H1.2b.1	Distant eQTL	1	single	2011	NA
F36H1.5c.1	Distant eQTL	1	single	2011	NA
F36H12.1.1	Distant eQTL	1	single	2011	NA
F36H12.14	Distant eQTL	1	single	2011	NA
F36H12.2a.1	Distant eQTL	1	single	2011	NA
F36H12.8.1	Distant eQTL	2	single	353	NA
F36H2.3a.1	Distant eQTL	1	single	2011	NA
F36H2.3c.1	Distant eQTL	2	single	353	NA
F36H2.6.1	Distant eQTL	1	single	2011	NA
F36H5.13.1	Distant eQTL	2	single	353	NA
F37A4.7c.1	Distant eQTL	2	single	353	NA
F37B12.3.2	Distant eQTL	2	single	353	NA
F37C12.1.2	Distant eQTL	1	single	2011	NA
F37C12.13a.1	Distant eQTL	1	single	2011	NA
F37C4.8a.1	Distant eQTL	1	single	2011	NA
F38A1.10.1	Distant eQTL	1	both	2011	NA
F38A3.2.1	Distant eQTL	1	single	2011	NA
F38A6.1b.1	Distant eQTL	1	single	2011	NA
F38A6.5.1	Distant eQTL	1	single	2011	NA
F38B6.5a.1	Distant eQTL	3	single	131	NA
F38B6.5b.2	Distant eQTL	1	single	2011	NA
F38B7.3.1	Distant eQTL	1	single	2011	NA
F38C2.5.1	Distant eQTL	2	both	353	NA
F38E11.8	Distant eQTL	1	both	2011	NA
F38H4.8b.1	Distant eQTL	1	single	2011	NA
F39B2.4a.2	Distant eQTL	1	single	2011	NA
F39B2.5.1	Distant eQTL	1	both	2011	NA
F39B2.7.2	Distant eQTL	2	single	353	NA
F39D8.1c.1	Distant eQTL	2	single	353	NA
F39D8.4.1	Distant eQTL	2	single	353	NA
F39E9.2.1	Distant eQTL	1	both	2011	NA
F39H11.5.2	Distant eQTL	1	single	2011	NA
F39H12.1.1	Distant eQTL	1	single	2011	NA
F39H12.4.1	Distant eQTL	3	single	131	NA
F39H12.4.2	Distant eQTL	1	single	2011	NA
F40B1.1.1	Distant eQTL	1	both	2011	NA
F40B5.1	Distant eQTL	1	both	2011	NA
F40D4.17.2	Distant eQTL	1	single	2011	NA
F40E10.1.1	Distant eQTL	1	single	2011	NA
F40F12.1	Distant eQTL	1	both	2011	NA
F40F12.5a.1	Distant eQTL	1	single	2011	NA
F40F8.5a.2	Distant eQTL	1	single	2011	NA
F40F9.10.1	Distant eQTL	3	single	131	NA
F40F9.1a.1	Distant eQTL	3	single	131	NA
F40G12.11.1	Distant eQTL	1	both	2011	NA
F40G12.7.1	Distant eQTL	1	single	2011	NA
F40G9.1.1	Distant eQTL	1	both	2011	NA
F40G9.2.2	Distant eQTL	1	single	2011	NA
F41B5.1.1	Distant eQTL	1	single	2011	NA
F41C3.1.1	Distant eQTL	1	both	2011	NA
F41C6.5.2	Distant eQTL	4	single	42	NA
F41D9.3c.1	Distant eQTL	1	single	2011	NA
F41D9.5.1	Distant eQTL	2	single	353	NA
F41E6.11.1	Distant eQTL	4	single	42	NA
F41E6.5a.1	Distant eQTL	1	single	2011	NA
F41F3.8.1	Distant eQTL	1	single	2011	NA
F41G3.18.1	Distant eQTL	1	single	2011	NA
F41G4.13.1	Distant eQTL	1	single	2011	NA
F41G4.7.1	Distant eQTL	1	single	2011	NA
F42A9.1a.1	Distant eQTL	1	single	2011	NA
F42A9.6c.1	Distant eQTL	1	single	2011	NA
F42E11.1a.1	Distant eQTL	1	single	2011	NA
F42F12.7.1	Distant eQTL	2	single	353	NA
F42G2.4.1	Distant eQTL	1	single	2011	NA
F42G4.3d.1	Distant eQTL	1	single	2011	NA
F42G8.7b.1	Distant eQTL	1	single	2011	NA
F42G9.2.2	Distant eQTL	1	single	2011	NA
F42G9.5a.1	Distant eQTL	1	single	2011	NA
F42G9.5a.2	Distant eQTL	1	single	2011	NA
F42G9.6b.2	Distant eQTL	1	both	2011	NA
F43C1.1.1	Distant eQTL	1	single	2011	NA
F43C11.6.1	Distant eQTL	1	single	2011	NA
F43D2.1.1	Distant eQTL	1	both	2011	NA
F43D2.3.1	Distant eQTL	1	single	2011	NA
F43D9.1.1	Distant eQTL	1	single	2011	NA
F43G9.10.2	Distant eQTL	1	single	2011	NA
F44B9.8.1	Distant eQTL	1	single	2011	NA
F44D12.3.1	Distant eQTL	2	single	353	NA
F44D12.7.1	Distant eQTL	1	single	2011	NA
F44E2.10.1	Distant eQTL	1	single	2011	NA
F44E2.4.2	Distant eQTL	1	single	2011	NA
F44E5.4.1	Distant eQTL	2	both	353	NA
F44E5.5.2	Distant eQTL	1	both	2011	NA
F44E7.4d.1	Distant eQTL	1	single	2011	NA
F44F1.4.1	Distant eQTL	1	single	2011	NA
F44G4.2.1	Distant eQTL	1	single	2011	NA
F45B8.1.1	Distant eQTL	1	both	2011	NA
F45B8.2.1	Distant eQTL	1	single	2011	NA
F45B8.3.1	Distant eQTL	3	single	131	NA
F45C12.13.1	Distant eQTL	1	single	2011	NA
F45C12.4.1	Distant eQTL	1	single	2011	NA
F45D11.13.1	Distant eQTL	2	single	353	NA
F45D11.8	Distant eQTL	2	both	353	NA
F45D3.4b.2	Distant eQTL	1	single	2011	NA
F45E12.2b.1	Distant eQTL	1	single	2011	NA
F45E12.3.1	Distant eQTL	1	single	2011	NA
F45E12.3.2	Distant eQTL	1	single	2011	NA
F45E4.1.1	Distant eQTL	2	single	353	NA
F45E4.3c.1	Distant eQTL	2	single	353	NA
F45E4.3e.1	Distant eQTL	1	single	2011	NA
F45E6.4.1	Distant eQTL	2	single	353	NA
F45F2.10.1	Distant eQTL	1	single	2011	NA
F45H11.1b.2	Distant eQTL	2	single	353	NA
F45H7.2d.2	Distant eQTL	1	single	2011	NA
F45H7.4.2	Distant eQTL	1	single	2011	NA
F46A9.4.2	Distant eQTL	1	single	2011	NA
F46B6.4.2	Distant eQTL	1	single	2011	NA
F46B6.5c.1	Distant eQTL	1	single	2011	NA
F46C5.1.1	Distant eQTL	1	single	2011	NA
F46C8.6.1	Distant eQTL	1	single	2011	NA
F46C8.8.1	Distant eQTL	1	single	2011	NA
F46C8.8.2	Distant eQTL	4	single	42	NA
F46E10.18.1	Distant eQTL	1	single	2011	NA
F46E10.1b.1	Distant eQTL	1	single	2011	NA
F46E10.2.1	Distant eQTL	3	single	131	NA
F46F11.9a.2	Distant eQTL	1	single	2011	NA
F46F2.2a.1	Distant eQTL	1	single	2011	NA
